"","PARTICIPANT.ID","GENDER","Classes"
"1",1,"2","1"
"2",2,"1","3"
"3",3,"2","1"
"4",4,"2","2"
"5",5,"2","3"
"6",6,"2","3"
"7",7,"2","3"
"8",8,"3","1"
"9",9,"1","3"
"10",10,"3","1"
"11",11,"1","1"
"12",12,"2","3"
"13",13,"2","2"
"14",14,"1","3"
"15",15,"1","3"
"16",16,"2","2"
"17",17,"1","3"
"18",18,"2","2"
"19",19,"2","3"
"20",20,"2","3"
"21",21,"2","1"
"22",22,"2","3"
"23",23,"2","2"
"24",24,"2","3"
"25",25,"2","3"
"26",26,"1","3"
"27",27,"2","2"
"28",28,"2","3"
"29",29,"2","2"
"30",30,"1","3"
"31",31,"1","3"
"32",32,"2","2"
"33",33,"2","2"
"34",34,"2","3"
"35",35,"2","2"
"36",36,"2","1"
"37",37,"2","2"
"38",38,"2","2"
"39",39,"2","3"
"40",40,"1","3"
"41",41,"2","1"
"42",42,"1","2"
"43",43,"2","2"
"44",44,"2","3"
"45",45,"2","2"
"46",46,"1","2"
"47",47,"2","3"
"48",48,"2","2"
"49",49,"1","1"
"50",50,"1","3"
"51",51,"2","2"
"52",52,"1","2"
"53",53,"2","2"
"54",54,"1","3"
"55",55,"3","2"
"56",56,"2","1"
"57",57,"2","3"
"58",58,"2","2"
"59",59,"2","2"
"60",60,"2","2"
"61",61,"1","3"
"62",62,"2","3"
"63",63,"2","1"
"64",64,"2","2"
"65",65,"1","3"
"66",66,"2","2"
"67",67,"2","2"
"68",68,"1","3"
"69",69,"2","2"
"70",70,"2","2"
"71",71,"2","3"
"72",72,"2","3"
"73",73,"2","2"
"74",74,"2","2"
"75",75,"2","3"
"76",76,"1","3"
"77",77,"1","3"
"78",78,"1","3"
"79",79,"2","2"
"80",80,"1","2"
"81",81,"1","1"
"82",82,"2","1"
"83",83,"2","3"
"84",84,"2","2"
"85",85,"2","3"
"86",86,"2","2"
"87",87,"2","2"
"88",88,"2","3"
"89",89,"1","3"
"90",90,"2","3"
"91",91,"2","3"
"92",92,"1","3"
"93",93,"2","1"
"94",94,"2","1"
"95",95,"1","3"
"96",96,"2","3"
"97",97,"2","2"
"98",98,"2","2"
"99",99,"2","3"
"100",100,"2","3"
"101",101,"2","2"
"102",102,"2","2"
"103",103,"2","2"
"104",104,"2","3"
"105",105,"2","1"
"106",106,"2","3"
"107",107,"2","3"
"108",108,"2","2"
"109",109,"2","2"
"110",110,"2","2"
"111",111,"3","3"
"112",112,"2","3"
"113",113,"3","2"
"114",114,"2","3"
"115",115,"2","3"
"116",116,"2","2"
"117",117,"1","3"
"118",118,"1","3"
"119",119,"2","1"
