"","PARTICIPANT.ID","GOLD.MSI.SCORE","Classes"
"1",1,60,"1"
"2",2,58,"3"
"3",3,63,"1"
"4",4,83,"2"
"5",5,68,"3"
"6",6,30,"3"
"7",7,53,"3"
"8",8,78,"1"
"9",9,57,"3"
"10",10,66,"1"
"11",11,92,"1"
"12",12,53,"3"
"13",13,101,"2"
"14",14,63,"3"
"15",15,70,"3"
"16",16,54,"2"
"17",17,101,"3"
"18",18,55,"2"
"19",19,46,"3"
"20",20,73,"3"
"21",21,58,"1"
"22",22,60,"3"
"23",23,49,"2"
"24",24,52,"3"
"25",25,68,"3"
"26",26,67,"3"
"27",27,44,"2"
"28",28,46,"3"
"29",29,96,"2"
"30",30,74,"3"
"31",31,101,"3"
"32",32,86,"2"
"33",33,98,"2"
"34",34,80,"3"
"35",35,79,"2"
"36",36,53,"1"
"37",37,79,"2"
"38",38,99,"2"
"39",39,75,"3"
"40",40,65,"3"
"41",41,59,"1"
"42",42,63,"2"
"43",43,82,"2"
"44",44,53,"3"
"45",45,88,"2"
"46",46,119,"2"
"47",47,64,"3"
"48",48,82,"2"
"49",49,49,"1"
"50",50,49,"3"
"51",51,89,"2"
"52",52,108,"2"
"53",53,62,"2"
"54",54,35,"3"
"55",55,57,"2"
"56",56,108,"1"
"57",57,83,"3"
"58",58,99,"2"
"59",59,54,"2"
"60",60,69,"2"
"61",61,49,"3"
"62",62,87,"3"
"63",63,37,"1"
"64",64,79,"2"
"65",65,103,"3"
"66",66,106,"2"
"67",67,77,"2"
"68",68,107,"3"
"69",69,90,"2"
"70",70,91,"2"
"71",71,82,"3"
"72",72,54,"3"
"73",73,100,"2"
"74",74,101,"2"
"75",75,81,"3"
"76",76,115,"3"
"77",77,73,"3"
"78",78,62,"3"
"79",79,100,"2"
"80",80,85,"2"
"81",81,69,"1"
"82",82,51,"1"
"83",83,46,"3"
"84",84,70,"2"
"85",85,56,"3"
"86",86,83,"2"
"87",87,69,"2"
"88",88,104,"3"
"89",89,60,"3"
"90",90,58,"3"
"91",91,29,"3"
"92",92,72,"3"
"93",93,87,"1"
"94",94,34,"1"
"95",95,81,"3"
"96",96,110,"3"
"97",97,52,"2"
"98",98,79,"2"
"99",99,80,"3"
"100",100,85,"3"
"101",101,66,"2"
"102",102,64,"2"
"103",103,85,"2"
"104",104,90,"3"
"105",105,62,"1"
"106",106,77,"3"
"107",107,73,"3"
"108",108,83,"2"
"109",109,78,"2"
"110",110,110,"2"
"111",111,89,"3"
"112",112,79,"3"
"113",113,43,"2"
"114",114,85,"3"
"115",115,67,"3"
"116",116,86,"2"
"117",117,59,"3"
"118",118,83,"3"
"119",119,88,"1"
